ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um Ha/100um
123 308.7668 60.1127 2.32e+37 1.2189e+36 2.9248e+36 2.8734e+35 1.2542 0.1972 1.2072e-01 2.3361e-02 1.2929e-02 5.9371e-02 1.7466e-02
124 308.7673 60.1131 2.0385e+37 1.072e+36 1.7902e+36 1.9634e+35 0.6831 0.2311 1.0455e-01 2.2155e-02 1.3311e-02 5.2477e-02 1.5439e-02
125 308.7793 60.123 1.7026e+37 8.9431e+35 1.9524e+36 1.3776e+35 1.1046 0.0831 6.3326e-02 1.0351e-02 1.1389e-02 4.1160e-02 9.0923e-03
126 308.7804 60.1238 2.3863e+37 1.2502e+36 2.7866e+36 1.7356e+35 1.1333 0.0597 6.6590e-02 1.0515e-02 1.0570e-02 4.4936e-02 1.0133e-02
127 308.7809 60.1242 2.0076e+37 1.0529e+36 3.9976e+36 2.3035e+35 1.9764 0.0456 5.8387e-02 9.4872e-03 9.3311e-03 3.9670e-02 9.1900e-03
128 308.7814 60.1247 1.5101e+37 1.1113e+36 2.1369e+36 1.843e+35 1.4367 0.219 4.9156e-02 8.6268e-03 1.0727e-02 3.5665e-02 8.0606e-03
129 308.7851 60.1276 1.2051e+37 6.381e+35 2.785e+36 2.6584e+35 2.2116 0.1882 3.3457e-02 7.2100e-03 6.4888e-03 2.4217e-02 5.3649e-03
130 308.7856 60.1281 1.1865e+37 6.2847e+35 2.5577e+36 2.428e+35 2.1016 0.1868 3.3705e-02 7.0261e-03 6.9338e-03 2.4038e-02 5.3801e-03
131 308.7862 60.1285 1.0262e+37 5.4542e+35 2.0919e+36 1.9979e+35 2.0135 0.188 3.1837e-02 6.6404e-03 6.7805e-03 2.2640e-02 5.0230e-03
132 308.7867 60.1289 1.2244e+37 6.481e+35 3.2094e+36 3.2097e+35 2.4106 0.2031 3.6037e-02 7.4676e-03 7.2333e-03 2.5248e-02 5.5652e-03
133 308.778 60.1228 1.3697e+37 7.215e+35 3.6617e+36 2.1424e+35 2.4417 0.0505 5.2137e-02 8.9665e-03 9.0082e-03 3.1370e-02 7.3603e-03
134 308.7785 60.1232 2.3634e+37 1.2382e+36 2.9292e+36 1.8003e+35 1.2274 0.0572 7.3892e-02 1.2316e-02 1.2794e-02 4.6406e-02 1.0839e-02
135 308.779 60.1236 3.1285e+37 1.6371e+36 1.8093e+36 1.3209e+35 0.0232 0.0888 8.3052e-02 1.3565e-02 1.3346e-02 5.3534e-02 1.2581e-02
136 308.7795 60.1241 2.8302e+37 1.4816e+36 2.6891e+36 1.6919e+35 0.8075 0.0613 7.3833e-02 1.2092e-02 1.0409e-02 4.7651e-02 1.1551e-02
137 308.7801 60.1245 1.8029e+37 9.4648e+35 3.171e+36 1.9115e+35 1.7802 0.0544 5.6778e-02 9.7151e-03 8.3278e-03 3.8910e-02 9.2458e-03
138 308.7806 60.1249 1.0975e+37 1.0425e+36 1.6915e+36 1.4384e+35 1.5716 0.2292 4.1290e-02 7.7831e-03 8.9169e-03 3.0164e-02 7.0541e-03
139 308.7853 60.1288 1.1072e+37 5.8738e+35 1.7564e+36 1.7693e+35 1.6171 0.2026 3.3510e-02 7.2401e-03 7.5655e-03 2.3184e-02 5.0896e-03
140 308.7858 60.1292 1.4129e+37 7.4604e+35 3.4756e+36 3.4492e+35 2.3102 0.1997 3.8849e-02 8.0953e-03 7.1416e-03 2.5339e-02 5.7463e-03
141 308.7863 60.1296 7.9485e+36 4.2628e+35 1.8745e+36 1.9214e+35 2.2436 0.2092 3.0104e-02 5.9389e-03 5.2620e-03 1.9010e-02 4.3624e-03
142 308.8084 60.1475 2.593e+37 1.3615e+36 9.5564e+36 8.7481e+35 2.9489 0.1786 1.5794e-02 3.3633e-03 4.3205e-03 1.7913e-02 3.3592e-03
143 308.8089 60.1479 3.4649e+37 1.8172e+36 9.6316e+36 8.8644e+35 2.5033 0.179 2.2340e-02 4.8942e-03 6.3040e-03 2.6075e-02 4.9498e-03
144 308.8094 60.1484 2.1763e+37 1.1439e+36 2.4695e+36 2.086e+35 1.088 0.1535 1.8913e-02 4.6356e-03 8.6291e-03 2.4624e-02 4.4748e-03
145 308.7771 60.123 1.6309e+37 8.5709e+35 3.3056e+36 1.9742e+35 2.0043 0.0532 5.7693e-02 1.0639e-02 9.7421e-03 3.4592e-02 8.4749e-03
146 308.7776 60.1235 2.2169e+37 1.1619e+36 2.5005e+36 1.6085e+35 1.0784 0.0658 7.1656e-02 1.2924e-02 1.4917e-02 4.4879e-02 1.0925e-02
