ID,RA_x,Dec_x,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,Ha/100um,id,RA_y,Dec_y,xcenter,ycenter,3.6um_aperture_average,r_kpc,LBol,Sigma_star,L_Edd,Mass_old,Mass_new,Mass_g,Momentum
602,308.7484,60.1476,1.7045e+37,8.9785e+35,1.6687e+36,3.1524e+35,0.8547,0.5703,0.035066,0.005345,0.007714699999999999,0.022822,0.0053488,602,308.7484,60.1476,429.02832464411796,584.8623350891878,1.754576258533169,2.3722780816369773,2.3542817679558014e+39,614.1016904866093,4400259614.714285,128617.15729265366,428.97290392387777,33470.77616526765,0.9284216371259817
603,308.7489,60.148,2.0908e+37,1.0993e+36,3.4772000000000004e+36,4.9275e+35,1.6918,0.3461,0.035352999999999996,0.0053293,0.0061563,0.021522,0.0052669,603,308.7489,60.148,428.9832757944205,590.5154692016267,2.357307475674091,2.373175208379015,2.887845303867403e+39,825.0576164859317,5387313065.68751,172799.6631160339,526.1933397031643,66252.32141850918,1.1178925217496696
604,308.7495,60.1485,1.9793000000000002e+37,1.0411e+36,2.6021e+36,3.6858e+35,1.3204,0.3377,0.033565,0.005213399999999999,0.005652600000000001,0.020002000000000002,0.0050176000000000005,604,308.7495,60.1485,429.0544798803245,597.5039837850194,1.8153972844266089,2.375346342975535,2.733839779005525e+39,635.3890495493131,4417574827.022297,133075.57134903487,498.1320438466009,51707.98274086744,1.0543227724458992
605,308.75,60.1489,9.8678e+36,5.2508e+35,7.4938e+35,3.1135e+35,0.4535,2.0336,0.023874,0.0040488,0.0051846,0.014741999999999996,0.0037286000000000003,605,308.75,60.1489,429.0095949087725,603.1570760291868,1.4786823407115948,2.380458840076316,1.3629558011049726e+39,517.5388192490582,4320067002.382918,108393.07683335847,248.34372668466068,17759.444238854427,0.7355032056367549
606,308.7594,60.1566,1.8184e+37,9.5715e+35,1.9740000000000002e+36,3.1502e+35,1.018,0.4153,0.052958000000000005,0.0097981,0.010685,0.030972000000000006,0.0079126,606,308.7594,60.1566,429.30625440267517,711.2745831744705,1.2166158877905469,2.7923257893853157,2.5116022099447517e+39,425.8155607266914,3315787889.007341,89182.60249087946,457.6382097360982,39865.74252514621,0.9818114661446632
607,308.7599,60.157,2.2352000000000003e+37,1.1746000000000001e+36,1.9667e+36,3.5537e+35,0.6862,0.5237,0.05972300000000001,0.011042,0.011585999999999999,0.035637,0.0090382,607,308.7599,60.157,429.2628443358585,716.9272985839563,1.3249280568774509,2.8288696759031366,3.087292817679558e+39,463.7248199071079,3595636731.046298,97122.29916716134,562.5346053685254,26872.173399563188,0.8707978808499202
608,308.7605,60.1574,1.284e+37,6.7904e+35,1.0328e+36,2.5676e+35,0.5443,1.2195,0.040099,0.007684899999999999,0.0080896,0.025055,0.0061465,608,308.7605,60.1574,428.71005201019966,722.8915030766682,1.1744893021322576,2.873219716005085,1.7734806629834255e+39,411.0712557462902,3398329926.490967,86094.56247696509,323.14532627647935,21315.249171352734,0.7969077445171543
609,308.7872,60.1792,7.039500000000001e+36,3.7895e+35,1.8809e+36,1.3491e+35,2.4408,0.0896,0.032398,0.0056616999999999995,0.0057864,0.02052,0.0045492,609,308.7872,60.1792,429.2597322002485,1029.2220432027036,1.3064599120875733,5.760006728093966,9.723066298342543e+38,457.2609692306506,4006839862.8146486,95768.51344722403,177.16367011863525,95583.7960268928,1.2015964468759113
610,308.7877,60.1796,1.2271e+37,6.4768e+35,1.9803e+36,1.3889e+35,1.6443,0.0829,0.045283,0.007989699999999999,0.0085387,0.029595,0.006423699999999999,610,308.7877,60.1796,429.2204525344657,1034.8737071180549,1.2923430859148703,5.8214129593253565,1.6948895027624308e+39,452.3200800702046,3614122848.696504,94733.69604131344,308.825256911112,64392.181172984194,1.108932092564907
611,308.7883,60.18,6.5394e+36,5.6077e+35,5.8047e+35,9.9748e+34,0.7,0.255,0.042167,0.0079175,0.0097945,0.028446,0.0061928999999999994,611,308.7883,60.18,428.6722718857842,1040.8368603740273,0.9216052720231208,5.887877968460428,9.03232044198895e+38,322.56184520809234,2724702630.4602003,67557.19488227407,164.5776126676331,27412.593091947292,0.8776943902538968
612,308.7946,60.1851,7.312300000000002e+36,3.9281e+35,6.4087e+35,9.5563e+34,0.6799,0.25,0.0543,0.0065763,0.011551,0.031464,0.0061451,612,308.7946,60.1851,428.56062303552653,1112.6600760546814,0.8310909145475175,6.676577339105787,1.009986187845304e+39,290.8818200916312,2554234146.8949223,60922.145937513094,184.02924994793614,26625.460061735663,0.8634168601848095
613,308.7224,60.1274,4.6528000000000005e+36,2.6156e+35,2.0620000000000002e+36,2.0115e+35,3.2401,0.2013,0.022663,0.0055303999999999996,0.005993600000000001,0.021258000000000003,0.004304,613,308.7224,60.1274,435.22498032725053,297.018619579539,1.2282404801322548,4.12065742780498,6.426519337016576e+38,429.88416804628923,4347441344.147089,90034.72961525216,117.09739673669809,126885.06125316917,1.2549453976527845
614,308.723,60.1278,6.5322e+36,3.9439e+35,2.1705e+36,2.2451e+35,2.7851,0.2441,0.02395,0.005688800000000001,0.0071895,0.024316,0.0046402,614,308.723,60.1278,434.66604947047415,302.9841909282277,1.3533337900294111,4.066897030130226,9.022375690607737e+38,473.6668265102939,4264828206.657013,99204.5481609287,164.39640968093605,109066.87574340342,1.2285584439494432
