ID,RA_x,Dec_x,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,Ha/100um,id,RA_y,Dec_y,xcenter,ycenter,3.6um_aperture_average,r_kpc,LBol,Sigma_star
1488,308.6388,60.13399999999999,1.0973e+37,5.8224e+35,9.2713e+35,1.6164e+35,0.622,0.4356,0.07159299999999999,0.0097259,0.013456999999999998,0.035111,0.007954899999999999,1488,308.6388,60.13399999999999,903.0249113562579,104.52193198669096,0.6317730054008667,5.996499851111717,1.5156077348066298e+39,221.12055189030335
1489,308.6394,60.1345,9.490700000000001e+36,5.0562e+35,5.7274e+35,1.3691e+35,0.0905,0.6723,0.065376,0.0088185,0.01444,0.035552,0.0072101,1489,308.6394,60.1345,903.0831642668228,111.51135223501802,0.6159178112726359,5.931164038678148,1.3108701657458565e+39,215.57123394542256
1490,308.643,60.1374,8.631700000000002e+36,4.6137e+35,8.2727e+35,1.1029e+35,0.8211,0.2831,0.043482,0.0065691000000000005,0.0053647,0.021193,0.0049135,1490,308.643,60.1374,902.8108168148916,152.42236668415785,1.0212467804289855,5.554156268900352,1.1922237569060776e+39,357.43637315014496
1491,308.6435,60.1379,1.2121e+37,6.4171e+35,2.4314e+36,2.332e+35,1.988,0.1892,0.047316,0.0072755,0.0051395,0.022909,0.005345399999999999,1491,308.6435,60.1379,903.3801396470192,159.10079984710052,1.3218731814683478,5.4983736229180495,1.674171270718232e+39,462.6556135139217
1492,308.6441,60.1383,6.860000000000001e+36,3.7066e+35,1.653e+36,1.5897e+35,2.2776,0.1884,0.034542,0.0056281000000000005,0.0046262000000000005,0.018022,0.0039704,1492,308.6441,60.1383,902.8150605647608,165.06510570246812,1.1445874055809295,5.4416841518065455,9.475138121546962e+38,400.60559195332536
1493,308.6446,60.1387,5.2331000000000005e+36,2.8849e+35,1.3455000000000002e+36,1.4768e+35,2.38,0.2295,0.029628,0.005144,0.0053281000000000005,0.016597,0.0035006,1493,308.6446,60.1387,902.7603644465687,170.7186029744595,1.0337269030017695,5.391521344620264,7.22803867403315e+38,361.80441605061935
1494,308.6451,60.1392,7.679000000000001e+36,4.1247e+35,9.056e+35,1.2083e+35,1.1489,0.2936,0.03077,0.0054896,0.006235899999999999,0.018626,0.003723900000000001,1494,308.6451,60.1392,903.3299498383046,177.39696074262932,1.0033347411181466,5.337355884320154,1.0606353591160222e+39,351.1671593913513
1495,308.6514,60.1443,1.8235000000000002e+37,9.5981e+35,3.1853e+36,3.1941e+35,1.7695,0.2026,0.022047,0.0066297,0.0089601,0.030315,0.0051881,1495,308.6514,60.1443,903.0227139074876,249.24403685429002,0.972434147361855,4.747382549092109,2.5186464088397793e+39,340.35195157664924
1496,308.6613,60.1524,2.9053e+37,1.8675e+36,3.3074e+36,2.9297e+35,1.093,0.2143,0.064677,0.0099647,0.010807,0.043431,0.0092903,1496,308.6613,60.1524,903.0990778793712,363.0188314556967,1.3904720780740083,4.015898902247864,4.012845303867403e+39,486.6652273259029
1497,308.6618,60.1528,3.553800000000001e+37,1.859e+36,4.5876e+36,2.5911e+35,1.2916,0.0394,0.067335,0.010402,0.012606,0.046881,0.0098495,1497,308.6618,60.1528,903.0469472541504,368.6716750215695,1.721223373297318,3.9873641788798047,4.9085635359116033e+39,602.4281806540613
1498,308.6624,60.1532,2.6230000000000002e+37,1.3735e+36,3.4216e+36,2.0287e+35,1.3082,0.0501,0.054687,0.0085117,0.011712,0.038202,0.0080908,1498,308.6624,60.1532,902.4849071416762,374.63529053638234,1.9532142448288776,3.9527877246061327,3.6229281767955805e+39,683.6249856901072
1499,308.6629,60.1537,2.5694000000000004e+37,1.3456e+36,3.6943e+36,2.1579e+35,1.4619,0.0472,0.054661,0.0084772,0.01112,0.036434,0.0080666,1499,308.6629,60.1537,903.0574164477887,381.3128077420829,1.4512731430619967,3.9283805142577135,3.54889502762431e+39,507.94560007169883
1500,308.6634,60.1541,2.8103e+37,1.4712e+36,3.5486000000000004e+36,2.0886e+35,1.2567,0.0484,0.056471,0.008637200000000001,0.010174,0.036447,0.0082137,1500,308.6634,60.1541,903.0055235724144,386.96559104234564,1.5179932425034133,3.9029276369190753,3.881629834254144e+39,531.2976348761946
1501,308.6639,60.1545,2.2091e+37,2.0878e+36,1.7647000000000002e+36,1.5073e+35,0.5335,0.2427,0.045252,0.006909,0.0089351,0.028465,0.006491800000000001,1501,308.6639,60.1545,902.9537045089313,392.6183558052173,1.1792184531598289,3.8784794801108395,3.051243093922652e+39,412.7264586059401
1502,308.6807,60.1682,5.0581e+37,2.637e+36,9.2524e+36,8.2967e+35,1.8423,0.1676,0.097024,0.017032,0.014412,0.061299,0.014748,1502,308.6807,60.1682,902.8798650946949,585.2042856415397,1.2180789494154514,3.7513778133100417,6.986325966850829e+39,426.32763229540797
1503,308.6812,60.1686,7.6131000000000015e+37,3.9797e+36,1.0519e+37,9.6625e+35,1.3991,0.17600000000000002,0.13844,0.024592,0.020978,0.086186,0.022066,1503,308.6812,60.1686,902.8306200978856,590.8563966505318,1.2900523197776308,3.7679882419567168,1.0515331491712709e+40,451.51831192217077
1504,308.7,60.184,1.1164e+37,5.9212e+35,1.9758e+36,2.1302e+35,1.7901,0.2265,0.062013,0.014713,0.018044,0.045846,0.011516,1504,308.7,60.184,903.2827857833836,807.0500105102451,0.5202117963383857,5.09245600898488,1.541988950276243e+39,182.074128718435
