ID RA Dec highres_co lowres_co hi
354 202.500 47.2255 NaN 2.86241e+21 1.65027e+21
355 202.499 47.1855 5.78603e+21 3.74049e+21 1.14368e+21
356 202.499 47.1861 1.52124e+22 3.76971e+21 1.23191e+21
357 202.499 47.1867 1.27529e+22 3.73966e+21 1.31338e+21
358 202.499 47.1872 1.01237e+22 3.73966e+21 1.29732e+21
359 202.499 47.1878 1.81972e+21 2.94733e+21 1.26367e+21
360 202.499 47.1883 0.00000 2.94733e+21 1.22279e+21
361 202.499 47.2217 NaN 5.69080e+21 2.22119e+21
362 202.499 47.2222 NaN 5.69080e+21 2.27112e+21
363 202.499 47.2228 NaN 5.16917e+21 2.29861e+21
364 202.499 47.2233 NaN 5.16917e+21 2.29276e+21
365 202.499 47.2239 NaN 4.11493e+21 2.18770e+21
366 202.499 47.2244 NaN 4.11493e+21 2.14275e+21
367 202.499 47.2250 NaN 3.63814e+21 2.03602e+21
368 202.498 47.1533 NaN 7.27867e+20 1.38200e+21
369 202.498 47.1539 NaN 1.00507e+21 1.31529e+21
370 202.498 47.1855 8.22384e+21 4.56573e+21 1.21241e+21
371 202.498 47.1861 2.23917e+22 4.66789e+21 1.29058e+21
372 202.498 47.1867 9.62715e+21 4.57436e+21 1.34887e+21
373 202.498 47.1872 5.51099e+21 4.57436e+21 1.31032e+21
374 202.498 47.1878 0.00000 3.43584e+21 1.24577e+21
375 202.498 47.1883 1.25018e+21 3.43584e+21 1.18419e+21
376 202.498 47.2155 0.00000 3.42893e+21 9.04411e+20
377 202.498 47.2161 0.00000 3.73651e+21 9.83043e+20
378 202.498 47.2239 NaN 4.55504e+21 2.19666e+21
379 202.498 47.2244 NaN 4.55504e+21 2.16983e+21
380 202.497 47.1539 NaN 1.14890e+21 1.24144e+21
381 202.497 47.1855 7.62687e+21 5.46903e+21 1.34483e+21
382 202.497 47.1861 1.85997e+22 5.45056e+21 1.38059e+21
383 202.497 47.1867 1.20228e+22 5.15100e+21 1.31245e+21
384 202.497 47.1872 6.94158e+21 5.15100e+21 1.25865e+21
385 202.497 47.1883 5.14528e+21 3.91695e+21 1.12927e+21
386 202.497 47.2261 NaN 3.58636e+21 2.05149e+21
387 202.496 47.1533 NaN 1.07475e+21 1.37971e+21
388 202.496 47.1539 NaN 1.23775e+21 1.20943e+21
389 202.496 47.1544 NaN 1.23775e+21 1.14845e+21
390 202.497 47.1850 1.89185e+21 5.79672e+21 1.28998e+21
391 202.497 47.1855 7.90312e+21 6.12116e+21 1.37445e+21
392 202.497 47.2261 NaN 3.79885e+21 1.95261e+21
393 202.496 47.1528 NaN 1.25228e+21 1.54302e+21
394 202.496 47.1533 NaN 1.25228e+21 1.39573e+21
395 202.496 47.1539 NaN 1.30059e+21 1.15523e+21
396 202.496 47.1544 NaN 1.30059e+21 1.08625e+21
397 202.496 47.1550 NaN 1.32481e+21 1.01014e+21
398 202.496 47.1850 1.00397e+22 6.04527e+21 1.30980e+21
399 202.495 47.1511 NaN 1.42814e+21 1.82544e+21
400 202.495 47.1517 NaN 1.54788e+21 1.85039e+21
401 202.495 47.1522 NaN 1.54788e+21 1.74621e+21
402 202.495 47.1528 NaN 1.42766e+21 1.60321e+21
403 202.495 47.1544 NaN 1.36433e+21 1.03116e+21
404 202.495 47.1550 NaN 1.28555e+21 9.89947e+20
405 202.495 47.1850 5.39552e+21 6.04059e+21 1.30799e+21
406 202.495 47.1878 5.86057e+21 4.31373e+21 9.43388e+20
407 202.494 47.1517 NaN 1.86402e+21 1.86291e+21
408 202.494 47.1522 NaN 1.86402e+21 1.76414e+21
409 202.494 47.1528 NaN 1.62289e+21 1.61874e+21
410 202.494 47.1544 NaN 1.46739e+21 1.04854e+21
411 202.494 47.1833 4.88444e+21 2.79044e+21 8.39205e+20
412 202.494 47.1839 5.93826e+21 5.06462e+21 1.07595e+21
413 202.494 47.1844 5.60549e+21 5.06462e+21 1.17099e+21
414 202.494 47.1850 2.05391e+21 5.93132e+21 1.29705e+21
415 202.493 47.1533 NaN 1.76142e+21 1.49367e+21
416 202.493 47.1539 NaN 1.55819e+21 1.19614e+21
417 202.493 47.1544 NaN 1.55819e+21 1.10652e+21
418 202.493 47.1550 NaN 1.24222e+21 1.09874e+21
419 202.493 47.1828 5.29282e+21 3.21970e+21 8.41102e+20
420 202.493 47.1833 8.00233e+21 3.21970e+21 9.36123e+20
421 202.493 47.1839 6.87819e+21 5.21699e+21 1.15056e+21
422 202.492 47.1539 NaN 1.57827e+21 1.37760e+21
423 202.492 47.1544 NaN 1.57827e+21 1.30484e+21
424 202.492 47.1550 NaN 1.23035e+21 1.27044e+21
425 202.492 47.1806 3.57880e+21 2.24048e+21 6.73293e+20
426 202.492 47.1828 1.19847e+22 3.50806e+21 1.02810e+21
427 202.492 47.1833 1.35454e+22 3.50806e+21 1.11200e+21
428 202.492 47.1839 5.92881e+21 5.39432e+21 1.22516e+21
429 202.492 47.1539 NaN 1.40943e+21 1.46681e+21
430 202.492 47.1544 NaN 1.40943e+21 1.39629e+21
