ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um
101 202.5153 47.2094 2.0219e+37 1.0545e+36 2.0864e+36 1.7355e+35 0.8643 0.1004 4.3852e-02 9.7604e-03 6.9528e-03 2.4341e-02
102 202.5153 47.21 1.8885e+37 9.8577e+35 2.6602e+36 2.4144e+35 1.3559 0.1118 4.1258e-02 8.2104e-03 5.6952e-03 2.2591e-02
103 202.5144 47.1611 7.4271e+37 3.8512e+36 5.5357e+36 4.1836e+35 0.3504 0.0917 9.3764e-02 1.9412e-02 1.3627e-02 7.1529e-02
104 202.5144 47.1616 7.2155e+37 3.7416e+36 9.8138e+36 9.9267e+35 1.3006 0.1262 8.7584e-02 1.6049e-02 1.2545e-02 6.6462e-02
105 202.5144 47.1622 2.4667e+37 1.2844e+36 3.4133e+36 2.6389e+35 1.3277 0.1219 3.4117e-02 6.1426e-03 9.9005e-03 2.8326e-02
106 202.5144 47.1639 1.7273e+37 9.0276e+35 1.2442e+36 1.7264e+35 0.2964 0.2511 3.1786e-02 1.0261e-02 1.0931e-02 3.9431e-02
107 202.5144 47.1644 1.8253e+37 9.5331e+35 1.641e+36 2.1799e+35 0.6466 0.2533 3.3181e-02 1.2335e-02 1.2423e-02 3.9383e-02
108 202.5144 47.165 1.6463e+37 8.6099e+35 1.7819e+36 2.4063e+35 0.9397 0.2468 2.9838e-02 1.1770e-02 1.2204e-02 3.3633e-02
109 202.5145 47.205 2.5584e+37 1.3317e+36 1.9457e+36 1.391e+35 0.3823 0.1038 3.6571e-02 1.1941e-02 7.6983e-03 2.6844e-02
110 202.5145 47.2055 2.9265e+37 1.5219e+36 2.5829e+36 1.6791e+35 0.6174 0.0865 3.8262e-02 9.3739e-03 8.1305e-03 2.7051e-02
111 202.5145 47.2061 1.6536e+37 8.6466e+35 1.7555e+36 1.4062e+35 0.9091 0.1321 2.5393e-02 4.9656e-03 6.2214e-03 1.7865e-02
112 202.5136 47.1616 3.7217e+37 1.9333e+36 3.3099e+36 3.1344e+35 0.6294 0.1566 4.5400e-02 7.9224e-03 1.2044e-02 3.9870e-02
113 202.5136 47.1622 1.7223e+37 9.0017e+35 1.8379e+36 1.9879e+35 0.9173 0.2065 2.1886e-02 4.1170e-03 1.0985e-02 2.3155e-02
114 202.5136 47.1639 1.6016e+37 8.3799e+35 1.11e+36 2.14e+35 0.2355 0.3903 1.8984e-02 8.2851e-03 1.5389e-02 3.4216e-02
115 202.5136 47.1644 1.7912e+37 9.3564e+35 1.6942e+36 2.4971e+35 0.7267 0.2492 2.0290e-02 9.9263e-03 1.6183e-02 3.2526e-02
116 202.5136 47.165 2.3848e+37 1.242e+36 2.5369e+36 4.3461e+35 0.9124 0.2792 2.5686e-02 1.2344e-02 1.5854e-02 3.5148e-02
117 202.5136 47.1655 2.2e+37 1.1466e+36 2.5271e+36 3.6116e+35 1.0337 0.2231 2.4740e-02 1.0998e-02 1.1366e-02 2.9148e-02
118 202.5136 47.1661 1.3538e+37 7.1048e+35 1.374e+36 1.7892e+35 0.8379 0.2605 1.8305e-02 7.3762e-03 8.2661e-03 1.9470e-02
119 202.5137 47.2044 1.7129e+37 8.9521e+35 1.4771e+36 1.3821e+35 0.5808 0.1412 2.9649e-02 1.0997e-02 6.8699e-03 2.1359e-02
120 202.5137 47.205 2.0001e+37 1.0433e+36 3.1112e+36 3.0358e+35 1.5126 0.121 2.8643e-02 8.2549e-03 6.6947e-03 2.0698e-02
121 202.5137 47.2055 1.156e+37 6.0881e+35 1.3571e+36 1.5204e+35 1.068 0.2286 1.8413e-02 4.0500e-03 5.3833e-03 1.3105e-02
122 202.5128 47.1616 1.4005e+37 7.3444e+35 1.0263e+36 1.9206e+35 0.3236 0.3521 1.8670e-02 3.8899e-03 1.3928e-02 2.0944e-02
123 202.5128 47.1622 1.1582e+37 6.1009e+35 1.0153e+36 2.0829e+35 0.6066 0.4154 1.3314e-02 3.3445e-03 1.5415e-02 1.9344e-02
124 202.5128 47.1639 1.519e+37 7.9539e+35 1.3092e+36 2.6958e+35 0.58 0.4218 1.1776e-02 6.6763e-03 1.4830e-02 2.3958e-02
125 202.5128 47.1644 1.8758e+37 9.7931e+35 1.6213e+36 2.3005e+35 0.5843 0.2688 1.3779e-02 7.8524e-03 1.4962e-02 2.4208e-02
126 202.5128 47.165 2.795e+37 1.454e+36 1.864e+36 2.6188e+35 0.1747 0.2688 1.9950e-02 1.0042e-02 1.5020e-02 2.9000e-02
127 202.5128 47.1655 4.1407e+37 2.15e+36 2.9987e+36 3.0711e+35 0.305 0.1908 3.0592e-02 1.2842e-02 1.2409e-02 3.6560e-02
128 202.5128 47.1661 3.24e+37 1.6841e+36 3.8695e+36 3.9609e+35 1.0952 0.1849 2.8054e-02 9.9055e-03 9.6013e-03 2.9493e-02
129 202.5128 47.1666 1.3903e+37 7.2922e+35 1.6751e+36 2.3733e+35 1.109 0.2755 1.7037e-02 5.3133e-03 8.9632e-03 1.6432e-02
130 202.5128 47.1705 1.4726e+37 7.715e+35 1.1566e+36 1.4609e+35 0.4333 0.1718 9.0104e-02 1.4322e-02 1.0381e-02 3.6392e-02
131 202.5128 47.205 1.5941e+37 8.3398e+35 1.994e+36 1.7347e+35 1.1683 0.1471 2.4234e-02 6.3298e-03 5.3226e-03 1.7053e-02
132 202.5128 47.2055 1.865e+37 9.7362e+35 2.0745e+36 1.9578e+35 0.9829 0.1704 2.6331e-02 5.4014e-03 6.3694e-03 1.8599e-02
