ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,LBol,Sigma_star,L_Edd,Mass_old,Mass_new,Mass_g,Momentum,tau,Sigma_g
1927,202.436,47.1734,2.3093000000000003e+37,1.203e+36,1.4944e+36,2.9397e+35,0.1272,0.4496,0.0083589,0.005231899999999999,0.0060663,0.012838,800.7089368357028,417.5239629096168,1.4763409955714104,3.1896408839779006e+39,0.10786468027986942,3.078711683583902e+39,5.378605929346184e+35,1.1553926245458756e+36,2.4769480680770432e+36,0.3542403712265779,0.059232452784387005,0.0008278948577091236
1932,202.436,47.2256,2.8133e+37,1.4634000000000002e+36,1.7951e+36,2.0389e+35,0.105,0.1708,0.033793000000000004,0.0043837,0.0076831,0.022003,800.8309062630797,981.28157111215,1.1136871980415524,3.885773480662983e+39,0.08136840601790707,2.713910771971596e+39,4.057385512420047e+35,1.4075547008335475e+36,2.0446505278937847e+36,0.3068828182512273,0.04889471338333832,0.0006834037740523425
1936,202.4343,47.1711,3.5409000000000004e+37,1.8397e+36,2.2397e+36,5.2345e+35,0.0911,0.5859,0.01655,0.0082916,0.0060583,0.019811,813.1848457374922,392.6815029250391,2.0457048408119527,4.890745856353592e+39,0.1494636396761152,2.9245009640583314e+39,7.452912450097404e+35,1.7715886823948775e+36,1.7739777437249892e+36,0.2748107150999464,0.0424219846592583,0.0005929341315825562
1938,202.4343,47.1722,1.0033e+38,5.2002e+36,6.190300000000001e+36,8.3605e+35,0.0519,0.2728,0.021546,0.0101,0.0089017,0.027752,813.1871573934727,404.5614524387351,2.8051115002048,1.385773480662983e+40,0.2049475399156456,4.247334299622701e+39,1.0219583004696778e+36,5.0197264114964567e+36,1.0106415466446424e+36,0.17717655525498469,0.024167958329478656,0.00033779672260301504
1939,202.4343,47.1728,2.3864e+38,1.2362e+37,1.6616000000000002e+37,1.4255e+36,0.2429,0.1412,0.042144,0.016128999999999998,0.012033,0.052499,813.1884182968381,411.0414248454988,4.7064231655253765,3.296132596685083e+40,0.3438615005164709,1.7279394469365825e+40,1.7146442197325406e+36,1.1939674183589299e+37,4.7299582211942896e+36,0.5313350760014258,0.11310977029345598,0.001580940730641086
1944,202.4335,47.1667,4.2199e+37,2.191e+36,2.5588e+36,7.8263e+35,0.0244,0.6094,0.028446,0.0047598,0.007090000000000002,0.023267,819.0496308987782,345.16058956585954,2.256907379838576,5.828591160220995e+39,0.1648945559852474,1.8777625830599422e+39,8.222365599545368e+35,2.1113070351713248e+36,4.7513783695817484e+35,0.09106647061967443,0.011362200062413858,0.00015881001987502055
1948,202.4335,47.1722,1.3110000000000001e+38,6.7934e+36,9.541e+36,7.9804e+35,0.3127,0.1467,0.026242,0.008829799999999999,0.0084837,0.033245,819.0605807540945,404.56033895354796,3.0835075107908962,1.810773480662984e+40,0.2252877572252908,1.433381904303065e+40,1.1233835428585568e+36,6.559215912959092e+36,6.089164000689396e+36,0.6177012262382338,0.14561311309495134,0.0020352415252015955
1973,202.4319,47.1728,4.3443e+37,2.2554e+36,2.7988e+36,3.1264e+35,0.1201,0.2372,0.011126,0.0020461,0.008914100000000001,0.016429,830.8084894305359,411.0382649383301,1.5828810240651336,6.000414364640884e+39,0.1156487262048664,3.715178983349957e+39,5.766752591051029e+35,2.173547039715345e+36,2.338690746667082e+36,0.33822931126711,0.05592623883179936,0.0007816837453684414
1978,202.4311,47.195,1.1104e+37,5.855e+35,6.8097e+35,2.5818e+35,0.0422,1.2912,0.025715,0.0064172,0.004817899999999999,0.014586000000000003,836.7186767060896,650.7963024126308,1.3621435760909482,1.5337016574585633e+39,0.09952116873477504,1.119487874926344e+39,4.962561858649688e+35,5.555570823607761e+35,8.217547835915974e+35,0.1452063049142761,0.01965101814073216,0.0002746632310953224
1979,202.4302,47.1728,3.2121000000000003e+37,1.6697e+36,2.042e+36,2.7597e+35,0.0991,0.2578,0.018443,0.0038593,0.0097671,0.028372,843.2893734673372,411.0363541787063,1.3475152453964825,4.4366022099447517e+39,0.09845239111624388,2.801760178348282e+39,4.9092679201587114e+35,1.6070829469119677e+36,1.929760641088325e+36,0.2929074007725481,0.04614729615513169,0.0006450029905579728
1981,202.4302,47.1739,3.9794e+37,2.0667e+36,2.4299e+36,3.1391e+35,0.0354,0.2481,0.022715,0.0031606,0.010836,0.030933,843.2910614874492,422.9163038494835,1.5477214107818462,5.496408839779006e+39,0.11307988847906865,1.8799975211281325e+39,5.638659078071113e+35,1.9909796951967512e+36,6.89339320832762e+35,0.1255956309864733,0.016484503369239782,0.00023040470096621842
1982,202.4302,47.1745,2.108e+37,1.0991e+36,1.2781e+36,2.8202e+35,0.0242,0.3796,0.015621,0.0020254,0.0076558999999999985,0.018856,843.2919822255658,429.3962763477648,1.3356364669079328,2.9116022099447513e+39,0.09758450175489283,1.13236077687071e+39,4.8659911510358875e+35,1.0546778905047873e+36,4.7124326452409146e+35,0.08842880508837052,0.011269067275017022,0.00015750829840063514
1986,202.4302,47.1934,2.3997000000000003e+37,1.2497e+36,1.5434e+36,6.4272e+35,0.1175,1.4412,0.048273,0.014528,0.010127,0.032010000000000004,843.3209854756827,633.5154004677141,1.9556843030089388,3.31450276243094e+39,0.14288654362725434,3.0346031044390545e+39,7.124949601512533e+35,1.2006216953720771e+36,2.2880613050239972e+36,0.3344490697592441,0.054715512595640496,0.0007647613662014308
1990,202.4294,47.1739,3.1173e+37,1.6207000000000002e+36,1.9926e+36,2.0947e+35,0.1077,0.1896,0.027694,0.0042875,0.010434,0.030124,849.1642970888304,422.9154987134252,1.2090884390429677,4.3056629834254145e+39,0.08833862793126496,2.9093269899493935e+39,4.40495134040723e+35,1.5596524611340482e+36,2.0972272557539112e+36,0.3118543525208686,0.0501520060131956,0.0007009770139565456
1995,202.4294,47.1945,3.5659e+37,1.8526e+36,2.2292e+36,6.2988e+35,0.0726,0.7286,0.054413,0.011127,0.0096279,0.032427,849.1936302669974,645.3945455637048,1.8005502382461769,4.925276243093923e+39,0.1315521118487239,2.459232878536943e+39,6.559765133236209e+35,1.7840967218932738e+36,1.4137297935722744e+36,0.2339103414820286,0.033807201825051064,0.0004725248952019055
2004,202.4286,47.1928,1.092e+37,5.7605e+35,6.6001e+35,4.2895e+35,0.0193,1.3430000000000002,0.030213,0.0067089,0.0083256,0.01957,855.0623544576115,627.0338805564493,1.379416278461954,1.50828729281768e+39,0.1007831498925202,7.575880479056948e+38,5.02548977277468e+35,5.463511652899563e+35,3.758262398890482e+35,0.07462401403091994,0.008987313983794569,0.0001256161222781925
