planar_aged_5pc_1Myr,spherical_aged_5pc_1Myr,planar_unaged_5pc_1Myr,spherical_unaged_5pc_1Myr,planar_unaged_20pc_1Myr,spherical_unaged_20pc_1Myr,planar_unaged_50pc_1Myr,spherical_unaged_50pc_1Myr,planar_unaged_10pc_1Myr,spherical_unaged_10pc_1Myr,planar_unaged_5pc_10Myr,spherical_unaged_5pc_10Myr,planar_unaged_10pc_10Myr,spherical_unaged_10pc_10Myr,planar_unaged_20pc_10Myr,spherical_unaged_20pc_10Myr,planar_unaged_50pc_10Myr,spherical_unaged_50pc_10Myr,planar_unaged_5pc_100Myr,spherical_unaged_5pc_100Myr,planar_unaged_10pc_100Myr,spherical_unaged_10pc_100Myr,planar_unaged_20pc_100Myr,spherical_unaged_20pc_100Myr,planar_unaged_50pc_100Myr,spherical_unaged_50pc_100Myr
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,452626.55180437077,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,264244.22112293896,100.0,438750.95370473864,100.0,100.0,100.0,100.0,100.0,100.0,99060.57996128088,807307.6928775805,99064.16328855058,100.0,99078.49321597404,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,33952.051483096395,100.0,325710.7375347055,100.0,100.0,100.0,100.0,100.0,100.0,100.0,730902.1713557655,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,471073.8872364071,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,66025.25801478964,100.0,266164.95405310707,100.0,100.0,100.0,100.0,100.0,100.0,100.0,566288.347046281,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,262241.4230989345,100.0,431546.0915661536,100.0,100.0,100.0,100.0,100.0,100.0,150995.31834685837,777140.0611221943,150999.7967354873,525226.6269784727,151017.6646106246,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
474.54860655986175,253770.39885806243,11255.249973877913,384350.2126618043,100.0,100.0,100.0,100.0,11257.264337549354,282244.10373537656,237350.2153307248,653835.3105929061,237355.78770665184,553501.2127954671,237378.07318103206,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,544186.9819424248,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,385372.79490474943,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,358534.83415861527,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,105163.53834777404,100.0,279918.92315381364,100.0,100.0,100.0,100.0,100.0,100.0,100.0,563507.8793280014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,1518.0647392026976,100.0,195025.60671314778,100.0,100.0,100.0,100.0,100.0,100.0,100.0,523169.59748310107,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,756.1417516505003,100.0,274525.7904813921,100.0,100.0,100.0,100.0,100.0,100.0,100.0,683632.3574736718,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,6344.61493107446,100.0,292683.60853260255,100.0,100.0,100.0,100.0,100.0,100.0,100.0,701775.4535852098,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,538344.9294288935,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,2918.198844980273,100.0,226560.33729209864,100.0,100.0,100.0,100.0,100.0,100.0,100.0,571815.8449625882,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,123565.30716827333,100.0,311248.95368419524,100.0,100.0,100.0,100.0,100.0,100.0,100.0,624909.5753203421,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,8544.30493856539,100.0,228360.29299647242,100.0,100.0,100.0,100.0,100.0,100.0,100.0,572501.0092037583,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,128315.82476710787,100.0,296412.4471098945,100.0,100.0,100.0,100.0,100.0,100.0,100.0,581100.7224458427,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,279606.7235008737,100.0,416449.0749043266,100.0,100.0,100.0,100.0,100.0,266991.33210315433,215921.88161191886,724028.7527673454,215926.62600622384,582105.3234273598,215945.6006562344,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,4343.709402518427,100.0,186613.6077677572,100.0,100.0,100.0,100.0,100.0,100.0,100.0,478769.4631026355,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,469841.8551866318,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,1534.121876771738,100.0,189591.94353634646,100.0,100.0,100.0,100.0,100.0,100.0,100.0,503038.2634088941,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,419030.4637179504,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,370399.72258257394,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
